"variable","data_type","missing_count","missing_percent","description","notes"
"transaction_id","character",0,0,"Unique transaction identifier","No issues"
"customer_id","character",0,0,"Customer identifier","No issues"
"category","character",0,0,"Product category","No issues"
"item","character",1213,9.65,"Item name","Contains missing values"
"price_per_unit","numeric",0,0,"Price per unit","Fully recovered via cross-field logic"
"quantity","numeric",604,4.8,"Quantity purchased","Missing values remain after cleaning"
"total_spent","numeric",604,4.8,"Total amount spent","Missing values remain after cleaning"
"payment_method","character",0,0,"Payment method used","No issues"
"location","character",0,0,"Transaction location","No issues"
"transaction_date","Date",0,0,"Date of transaction","No issues"
"discount_applied","logical",4199,33.39,"Whether discount was applied","Standardized to TRUE/FALSE"
