"transaction_id","customer_id","category","item","price_per_unit","quantity","total_spent","payment_method","location","transaction_date","discount_applied","recover_total_spent","recover_quantity","recover_price_per_unit"
"TXN_7482416","CUST_09","Patisserie",NA,NA,10,200,"Credit Card","Online",2023-11-30,NA,FALSE,FALSE,TRUE
"TXN_5422631","CUST_09","Milk Products",NA,NA,8,52,"Digital Wallet","In-store",2025-01-12,TRUE,FALSE,FALSE,TRUE
"TXN_9634894","CUST_15","Milk Products",NA,NA,10,275,"Digital Wallet","Online",2022-04-17,NA,FALSE,FALSE,TRUE
"TXN_8685338","CUST_15","Milk Products",NA,NA,3,105,"Credit Card","In-store",2023-10-29,NA,FALSE,FALSE,TRUE
"TXN_1543244","CUST_20","Food",NA,NA,8,196,"Credit Card","Online",2024-10-25,TRUE,FALSE,FALSE,TRUE
"TXN_4608122","CUST_21","Butchers",NA,NA,10,275,"Digital Wallet","Online",2022-10-01,FALSE,FALSE,FALSE,TRUE
"TXN_3822751","CUST_21","Butchers",NA,NA,9,126,"Digital Wallet","In-store",2024-03-04,FALSE,FALSE,FALSE,TRUE
"TXN_7804271","CUST_22","Patisserie",NA,NA,8,40,"Cash","Online",2023-02-10,NA,FALSE,FALSE,TRUE
"TXN_3433195","CUST_24","Electric household essentials",NA,NA,7,150.5,"Cash","Online",2023-03-30,NA,FALSE,FALSE,TRUE
"TXN_7571093","CUST_17","Milk Products",NA,NA,9,99,"Digital Wallet","In-store",2022-11-18,NA,FALSE,FALSE,TRUE
"TXN_9469962","CUST_08","Beverages",NA,NA,6,48,"Cash","Online",2024-02-26,FALSE,FALSE,FALSE,TRUE
"TXN_5911306","CUST_21","Milk Products",NA,NA,8,268,"Digital Wallet","Online",2022-10-10,TRUE,FALSE,FALSE,TRUE
"TXN_7043807","CUST_24","Furniture",NA,NA,7,182,"Digital Wallet","In-store",2022-02-07,NA,FALSE,FALSE,TRUE
"TXN_2218629","CUST_10","Computers and electric accessories",NA,NA,3,96,"Credit Card","Online",2022-03-21,FALSE,FALSE,FALSE,TRUE
"TXN_8348586","CUST_03","Electric household essentials",NA,NA,8,220,"Credit Card","Online",2022-08-12,NA,FALSE,FALSE,TRUE
"TXN_2687566","CUST_19","Furniture",NA,NA,1,27.5,"Credit Card","Online",2022-03-21,FALSE,FALSE,FALSE,TRUE
"TXN_5361643","CUST_19","Food",NA,NA,2,46,"Digital Wallet","Online",2023-12-19,NA,FALSE,FALSE,TRUE
"TXN_4897743","CUST_01","Food",NA,NA,9,193.5,"Credit Card","In-store",2024-03-18,NA,FALSE,FALSE,TRUE
"TXN_1565398","CUST_25","Food",NA,NA,8,148,"Credit Card","In-store",2022-06-15,NA,FALSE,FALSE,TRUE
"TXN_9917843","CUST_11","Milk Products",NA,NA,10,95,"Digital Wallet","Online",2024-03-04,TRUE,FALSE,FALSE,TRUE
"TXN_4298975","CUST_22","Milk Products",NA,NA,2,61,"Digital Wallet","Online",2023-12-18,FALSE,FALSE,FALSE,TRUE
"TXN_1285469","CUST_20","Electric household essentials",NA,NA,7,108.5,"Digital Wallet","Online",2022-06-17,FALSE,FALSE,FALSE,TRUE
"TXN_6586324","CUST_15","Butchers",NA,NA,6,183,"Digital Wallet","In-store",2024-05-08,NA,FALSE,FALSE,TRUE
"TXN_8177929","CUST_12","Furniture",NA,NA,2,76,"Credit Card","Online",2022-06-12,TRUE,FALSE,FALSE,TRUE
"TXN_7555309","CUST_12","Beverages",NA,NA,5,107.5,"Credit Card","Online",2022-07-15,TRUE,FALSE,FALSE,TRUE
"TXN_7101302","CUST_16","Beverages",NA,NA,1,33.5,"Cash","In-store",2024-10-24,TRUE,FALSE,FALSE,TRUE
"TXN_8935391","CUST_16","Milk Products",NA,NA,1,27.5,"Credit Card","Online",2022-09-06,TRUE,FALSE,FALSE,TRUE
"TXN_2028333","CUST_18","Milk Products",NA,NA,4,110,"Digital Wallet","In-store",2024-07-28,TRUE,FALSE,FALSE,TRUE
"TXN_5476798","CUST_02","Butchers",NA,NA,10,380,"Digital Wallet","Online",2022-10-07,FALSE,FALSE,FALSE,TRUE
"TXN_5849098","CUST_16","Furniture",NA,NA,3,105,"Cash","Online",2024-06-23,FALSE,FALSE,FALSE,TRUE
"TXN_3010762","CUST_24","Furniture",NA,NA,2,10,"Digital Wallet","In-store",2023-07-14,TRUE,FALSE,FALSE,TRUE
"TXN_1972761","CUST_23","Patisserie",NA,NA,10,80,"Credit Card","In-store",2024-10-24,NA,FALSE,FALSE,TRUE
"TXN_8487838","CUST_18","Computers and electric accessories",NA,NA,4,44,"Digital Wallet","Online",2023-02-04,NA,FALSE,FALSE,TRUE
"TXN_4445756","CUST_15","Patisserie",NA,NA,4,164,"Credit Card","In-store",2023-10-26,NA,FALSE,FALSE,TRUE
"TXN_6857566","CUST_23","Computers and electric accessories",NA,NA,2,46,"Credit Card","In-store",2024-03-14,TRUE,FALSE,FALSE,TRUE
"TXN_8624505","CUST_19","Food",NA,NA,9,207,"Cash","In-store",2023-09-15,TRUE,FALSE,FALSE,TRUE
"TXN_2843259","CUST_24","Patisserie",NA,NA,1,27.5,"Digital Wallet","In-store",2023-03-25,TRUE,FALSE,FALSE,TRUE
"TXN_3278532","CUST_07","Furniture",NA,NA,9,247.5,"Cash","In-store",2025-01-12,FALSE,FALSE,FALSE,TRUE
"TXN_3512388","CUST_14","Furniture",NA,NA,10,110,"Digital Wallet","In-store",2024-03-30,NA,FALSE,FALSE,TRUE
"TXN_8905154","CUST_09","Butchers",NA,NA,5,115,"Credit Card","In-store",2022-10-24,NA,FALSE,FALSE,TRUE
"TXN_2031813","CUST_12","Butchers",NA,NA,1,6.5,"Credit Card","Online",2024-07-11,TRUE,FALSE,FALSE,TRUE
"TXN_1096977","CUST_07","Food",NA,NA,9,207,"Cash","In-store",2024-12-07,FALSE,FALSE,FALSE,TRUE
"TXN_9017628","CUST_19","Food",NA,NA,5,55,"Credit Card","In-store",2022-10-10,FALSE,FALSE,FALSE,TRUE
"TXN_7109246","CUST_04","Butchers",NA,NA,8,64,"Cash","Online",2022-03-11,FALSE,FALSE,FALSE,TRUE
"TXN_5616762","CUST_04","Butchers",NA,NA,8,172,"Credit Card","Online",2022-01-24,TRUE,FALSE,FALSE,TRUE
"TXN_8322817","CUST_23","Patisserie",NA,NA,8,304,"Digital Wallet","In-store",2022-06-15,NA,FALSE,FALSE,TRUE
"TXN_8914114","CUST_16","Milk Products",NA,NA,8,112,"Digital Wallet","In-store",2023-09-22,TRUE,FALSE,FALSE,TRUE
"TXN_2090456","CUST_05","Butchers",NA,NA,10,395,"Cash","In-store",2023-12-15,TRUE,FALSE,FALSE,TRUE
"TXN_8454077","CUST_11","Computers and electric accessories",NA,NA,2,16,"Cash","Online",2023-02-15,TRUE,FALSE,FALSE,TRUE
"TXN_4614873","CUST_03","Furniture",NA,NA,9,234,"Cash","Online",2023-07-29,FALSE,FALSE,FALSE,TRUE
"TXN_5006011","CUST_10","Butchers",NA,NA,8,280,"Cash","In-store",2022-01-11,NA,FALSE,FALSE,TRUE
